code,type,part,href,source,label,direct_uses,direct_used_by,ancestors,descendants
ID1,definition,Part I,/nodes/ID1.html,/text/part0029_split_001.html#cite-ID1,"[5] D1: By cause of itself I understand that whose essence involves existence, or that whose nature cannot be conceived except as existing.",0,1,0,136
ID2,definition,Part I,/nodes/ID2.html,/text/part0029_split_001.html#cite-ID2,D2: That thing is said to be finite in its own kind that can be limited by another of the same nature.,0,2,0,110
ID3,definition,Part I,/nodes/ID3.html,/text/part0029_split_001.html#cite-ID3,"D3: By substance I understand what is in itself and is conceived through [15] itself, i.e., that whose concept does not require the concept of another thing, from which it must be formed.",0,8,0,151
ID4,definition,Part I,/nodes/ID4.html,/text/part0029_split_001.html#cite-ID4,"D4: By attribute I understand what the intellect perceives of a substance, as constituting its essence.2",0,5,0,131
ID5,definition,Part I,/nodes/ID5.html,/text/part0029_split_001.html#cite-ID5,"[20] D5: By mode I understand the affections of a substance, or that which is in another through which it is also conceived.",0,8,0,151
ID6,definition,Part I,/nodes/ID6.html,/text/part0029_split_001.html#cite-ID6,"D6: By God I understand a being absolutely infinite, i.e., a substance consisting of an infinity of attributes, of which each one expresses an3 [25] eternal and infinite essence.",0,10,0,149
ID7,definition,Part I,/nodes/ID7.html,/text/part0029_split_001.html#cite-ID7,"D7: That thing is called free which exists from the necessity of its nature alone, and is determined to act by itself alone. But a thing is [10] called necessary, or rather compelled, which is determined by another to exist and to produce an effect in a certai",0,4,0,20
ID8,definition,Part I,/nodes/ID8.html,/text/part0029_split_001.html#cite-ID8,"D8: By eternity I understand existence itself, insofar as it is conceived [15] to follow necessarily from the definition alone of the eternal thing.",0,4,0,19
IA1,axiom,Part I,/nodes/IA1.html,/text/part0029_split_001.html#cite-IA1,"A1: Whatever is, is either in itself or in another.",0,5,0,152
IA2,axiom,Part I,/nodes/IA2.html,/text/part0029_split_001.html#cite-IA2,"A2: What cannot be conceived through another, must be conceived through itself.",0,0,0,0
IA3,axiom,Part I,/nodes/IA3.html,/text/part0029_split_001.html#cite-IA3,"A3: From a given determinate cause the effect follows necessarily; and [25] conversely, if there is no determinate cause, it is impossible for an effect to follow.",0,2,0,34
IA4,axiom,Part I,/nodes/IA4.html,/text/part0029_split_001.html#cite-IA4,"A4: The knowledge of an effect depends on, and involves, the knowledge of its cause.",0,5,0,143
IA5,axiom,Part I,/nodes/IA5.html,/text/part0029_split_001.html#cite-IA5,"A5: Things that have nothing in common with one another also cannot [30] be understood through one another, or the concept of the one does not involve the concept of the other.",0,1,0,120
IA6,axiom,Part I,/nodes/IA6.html,/text/part0029_split_001.html#cite-IA6,[II/47] A6: A true idea must agree with its object.,0,3,0,128
IA7,axiom,Part I,/nodes/IA7.html,/text/part0029_split_001.html#cite-IA7,"A7: If a thing can be conceived as not existing, its essence does not involve existence.",0,1,0,139
IP1,proposition,Part I,/nodes/IP1.html,/text/part0029_split_001.html#p-part0029-split-001-0025,[5] P1: A substance7 is prior in nature to its affections.,2,1,2,126
IP2,proposition,Part I,/nodes/IP2.html,/text/part0029_split_001.html#cite-IP2,P2: Two substances having different attributes have nothing in common with [10] one another.8,0,3,0,145
IP3,proposition,Part I,/nodes/IP3.html,/text/part0029_split_001.html#p-part0029-split-001-0029,"[15] P3: If things have nothing in common with one another, one of them cannot be the cause of the other.",2,1,2,135
IP4,proposition,Part I,/nodes/IP4.html,/text/part0029_split_001.html#cite-IP4,"P4: Two or more distinct things are distinguished from one another, either by a difference in the attributes of the substances or by a difference in their affections.",4,1,4,126
IP5,proposition,Part I,/nodes/IP5.html,/text/part0029_split_001.html#cite-IP5,P5: In nature there cannot be two or more substances of the same nature or [5] attribute.,4,5,7,140
IP6,proposition,Part I,/nodes/IP6.html,/text/part0029_split_001.html#cite-IP6,P6: One substance cannot be produced by another substance.,7,3,12,144
IP7,proposition,Part I,/nodes/IP7.html,/text/part0029_split_001.html#cite-IP7,[I/49] P7: It pertains to the nature of a substance to exist.,1,4,1,145
IP8,proposition,Part I,/nodes/IP8.html,/text/part0029_split_001.html#cite-IP8,P8: Every substance is necessarily infinite.,3,3,11,116
IP9,proposition,Part I,/nodes/IP9.html,/text/part0029_split_001.html#cite-IP9,"P9: The more reality or being each thing has, the more attributes belong to it.",0,0,0,0
IP10,proposition,Part I,/nodes/IP10.html,/text/part0029_split_001.html#cite-IP10,P10: Each attribute of a substance must be conceived through itself.,3,1,3,107
IP11,proposition,Part I,/nodes/IP11.html,/text/part0029_split_001.html#cite-IP11,"P11: God, or a substance consisting of infinite attributes, each of which expresses [25] eternal and infinite essence, necessarily exists.",6,9,17,144
IP12,proposition,Part I,/nodes/IP12.html,/text/part0029_split_001.html#cite-IP12,[II/55] P12: No attribute of a substance can be truly conceived from which it follows that the substance can be divided.,7,2,19,115
IP13,proposition,Part I,/nodes/IP13.html,/text/part0029_split_001.html#p-part0029-split-001-0081,[20] P13: A substance which is absolutely infinite is indivisible.,4,1,22,114
IP14,proposition,Part I,/nodes/IP14.html,/text/part0029_split_001.html#cite-IP14,"P14: Except God, no substance can be or be conceived.",4,2,18,114
IP15,proposition,Part I,/nodes/IP15.html,/text/part0029_split_001.html#cite-IP15,"[25] P15: Whatever is, is in God, and nothing can be or be conceived without God.",7,11,24,117
IP16,proposition,Part I,/nodes/IP16.html,/text/part0029_split_001.html#cite-IP16,"P16: From the necessity of the divine nature there must follow infinitely many things in infinitely many modes,43 (i.e., everything which can fall under an infinite intellect.)44",1,8,1,117
IP17,proposition,Part I,/nodes/IP17.html,/text/part0029_split_001.html#p-part0029-split-001-0111,"[5] P17: God acts from the laws of his nature alone, and is compelled by no one.",5,1,27,0
IP18,proposition,Part I,/nodes/IP18.html,/text/part0029_split_001.html#cite-IP18,"P18: God is the immanent, not the transitive, cause of all things.",3,0,25,0
IP19,proposition,Part I,/nodes/IP19.html,/text/part0029_split_001.html#cite-IP19,"P19: God is eternal, or all God’s attributes are eternal.",6,3,19,3
IP20,proposition,Part I,/nodes/IP20.html,/text/part0029_split_001.html#cite-IP20,P20: God’s existence and his essence are one and the same.,4,1,20,0
IP21,proposition,Part I,/nodes/IP21.html,/text/part0029_split_001.html#cite-IP21,"P21: All the things which follow from the absolute nature of any of God’s attributes have always53 had to exist and be infinite, or are, through the same attribute, eternal and infinite.",2,6,19,32
IP22,proposition,Part I,/nodes/IP22.html,/text/part0029_split_001.html#cite-IP22,"P22: Whatever follows from some attribute of God insofar as it is modified by a modification which, through the same attribute, exists necessarily and is [20] infinite, must also exist necessarily and be infinite.57",0,2,0,30
IP23,proposition,Part I,/nodes/IP23.html,/text/part0029_split_001.html#p-part0029-split-001-0139,"[25] P23: Every mode which exists necessarily and is infinite has necessarily had to follow either from the absolute nature of some attribute of God, or from some attribute, modified by a modification which exists necessarily and is infinite.",7,1,29,1
IP24,proposition,Part I,/nodes/IP24.html,/text/part0029_split_001.html#cite-IP24,P24: The essence of things produced by God does not involve existence.,0,3,0,35
IP25,proposition,Part I,/nodes/IP25.html,/text/part0029_split_001.html#cite-IP25,"P25: God is the efficient cause, not only of the existence of things, but also of their essence.",3,3,25,92
IP26,proposition,Part I,/nodes/IP26.html,/text/part0029_split_001.html#cite-IP26,[15] P26: A thing which has been determined to produce an effect has necessarily been determined in this way by God; and one which has not been determined by God cannot determine itself to produce an effect.,1,2,26,29
IP27,proposition,Part I,/nodes/IP27.html,/text/part0029_split_001.html#cite-IP27,"P27: A thing which has been determined by God to produce an effect, cannot render itself undetermined.",1,1,1,25
IP28,proposition,Part I,/nodes/IP28.html,/text/part0029_split_001.html#cite-IP28,"[II/69] P28: Every singular thing, or any thing which is finite and has a determinate existence, can neither exist nor be determined to produce an effect unless it is [5] determined to exist and produce an effect by another cause, which is also finite and has ",8,5,30,28
IP29,proposition,Part I,/nodes/IP29.html,/text/part0029_split_001.html#cite-IP29,"P29: In nature there is nothing contingent, but all things have been determined from the necessity of the divine nature to exist and produce an effect in a certain way.",7,5,34,24
IP30,proposition,Part I,/nodes/IP30.html,/text/part0029_split_001.html#cite-IP30,"P30: An actual intellect, whether finite or infinite,62 must comprehend God’s attributes and God’s affections, and nothing else.",2,1,25,1
IP31,proposition,Part I,/nodes/IP31.html,/text/part0029_split_001.html#p-part0029-split-001-0164,"[30] P31: The actual intellect, whether finite or infinite, like will, desire, love, etc., must be referred to Natura naturata, not to Natura naturans.63",4,0,35,0
IP32,proposition,Part I,/nodes/IP32.html,/text/part0029_split_001.html#p-part0029-split-001-0167,"[20] P32: The will cannot be called a free cause, but only a necessary one.",4,0,39,0
IP33,proposition,Part I,/nodes/IP33.html,/text/part0029_split_001.html#cite-IP33,"P33: Things could have been produced by God in no other way, and in no [20] other order than they have been produced.",4,0,36,0
IP34,proposition,Part I,/nodes/IP34.html,/text/part0029_split_001.html#cite-IP34,[35] P34: God’s power is his essence itself.,2,4,19,107
IP35,proposition,Part I,/nodes/IP35.html,/text/part0029_split_001.html#cite-IP35,"P35: Whatever we conceive to be in God’s power, necessarily exists.",1,1,20,55
IP36,proposition,Part I,/nodes/IP36.html,/text/part0029_split_001.html#cite-IP36,P36: Nothing exists from whose nature some effect does not follow.,2,3,20,78
IID1,definition,Part II,/nodes/IID1.html,/text/part0029_split_001.html#cite-IID1,D1: By body I understand a mode that in a certain and determinate [15] way expresses God’s essence insofar as he is considered as an extended thing (see IP25C).,0,2,0,78
IID2,definition,Part II,/nodes/IID2.html,/text/part0029_split_001.html#cite-IID2,"D2: I say that to the essence of any thing belongs that which, being given, the thing is [NS: also] necessarily posited and which, being taken away, the thing is necessarily [NS: also] taken away; or that without which the thing can neither be nor be conceived",0,2,0,20
IID3,definition,Part II,/nodes/IID3.html,/text/part0029_split_001.html#cite-IID3,D3: By idea I understand a concept of the Mind that the Mind forms because it is a thinking thing.,0,1,0,16
IID4,definition,Part II,/nodes/IID4.html,/text/part0029_split_001.html#cite-IID4,"D4: By adequate idea I understand an idea which, insofar as it is [5] considered in itself, without relation to an object, has all the properties, or intrinsic denominations of a true idea.",0,1,0,2
IID5,definition,Part II,/nodes/IID5.html,/text/part0029_split_001.html#p-part0029-split-001-0228,[10] D5: Duration is an indefinite continuation of existing.,0,0,0,0
IID6,definition,Part II,/nodes/IID6.html,/text/part0029_split_001.html#cite-IID6,[15] D6: By reality and perfection I understand the same thing.,0,3,0,54
IID7,definition,Part II,/nodes/IID7.html,/text/part0029_split_001.html#cite-IID7,"D7: By singular things I understand things that are finite and have a determinate existence. And if a number of Individuals2 so concur in one action that together they are all the cause of one effect, I consider [20] them all, to that extent, as one singular t",0,0,0,0
IIA1,axiom,Part II,/nodes/IIA1.html,/text/part0029_split_001.html#cite-IIA1,"A1: The essence of man does not involve necessary existence, i.e., from the order of nature it can happen equally that this or that man does exist, or that he does not exist.",0,6,0,132
IIA2,axiom,Part II,/nodes/IIA2.html,/text/part0029_split_001.html#cite-IIA2,[25] A2: Man thinks.3,0,1,0,105
IIA3,axiom,Part II,/nodes/IIA3.html,/text/part0029_split_001.html#cite-IIA3,"A3: There are no modes of thinking, such as love, desire, or whatever [II/86] is designated by the word affects of the mind, unless there is in the same Individual4 the idea of the thing loved, desired, etc. But there can be an idea, even though there is no ot",0,2,0,105
